Loại KH,Tên Công Ty/Đơn Vị,Họ Tên Chủ,SĐT,Tỉnh,Quận/Huyện,Địa Chỉ,Nguồn,Thông Tin Chi Tiết,Khu vực
ĐLSX Tổng Hợp,Anh Sang,,977306167,Thái Nguyên,Tx Phổ Yên,"Long Thành, Thành Công",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Long,,397481222,Thái Nguyên,Tx Phổ Yên,"Xuân Dương, Thành Công",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Tình,,973595929,Thái Nguyên,Tx Phổ Yên,Thành Công,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Chính,,973921284,Thái Nguyên,Đại Từ,"Cầu Đen, Tt Hùng Sơn",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Dân,,984796144,Thái Nguyên,Đại Từ,Tt Hùng Sơn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Hiệp,,969651985,Thái Nguyên,Đại Từ,Tt Hùng Sơn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Dũng,,974961623,Thái Nguyên,Đại Từ,Tt Hùng Sơn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Thức,,917505672,Thái Nguyên,Đại Từ,Tiên Hội,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Thế Anh,,979400718,Thái Nguyên,Đại Từ,Phú Xuyên,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Chinh,,988445285,Thái Nguyên,Đại Từ,Phú Xuyên,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Thịnh,,962637019,Thái Nguyên,Đại Từ,Yên Lãng,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Cươờng,,962999406,Thái Nguyên,Đại Từ,Yên Lãng,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Định,,985809019,Thái Nguyên,Đại Từ,Bình Thuận,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Minh,,982974171,Thái Nguyên,Đại Từ,Bình Thuận,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Khánh Linh,,886131256,Thái Nguyên,Đại Từ,Bình Thuận,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Luân,,398721314,Thái Nguyên,Đại Từ,Lục Ba,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Trần Đức Hiện,,962476055,Thái Nguyên,Đại Từ,Tt Đại Từ,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Hưng,,987843283,Thái Nguyên,Đại Từ,"Phố Dầu, Tiên Hội",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Quang Điệp,,332652888,Thái Nguyên,Đại Từ,Tt Đại Từ,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Lê Văn Giang,,987843983,Thái Nguyên,Đại Từ,"Tdp An Long, Tt Hùng Sơn",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Điện,,986390152,Thái Nguyên,Đại Từ,"Xóm 2, Xã Cù Vân",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Cường,,947180100,Thái Nguyên,Đồng Hỷ,Xã Linh Sơn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Thắng,,981140526,Thái Nguyên,Đồng Hỷ,Xã Linh Sơn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Trân Văn Tâm,,912116527,Thái Nguyên,Đồng Hỷ,Xã Linh Sơn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Tiến,,969249065,Thái Nguyên,Đồng Hỷ,Xã Linh Sơn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Văn Hòa,,975748128,Thái Nguyên,Đồng Hỷ,Xã Linh Sơn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Vũ Văn Thắng,,947298744,Thái Nguyên,Đồng Hỷ,Xã Linh Sơn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Em Nghĩa,,338817291,Thái Nguyên,Đồng Hỷ,"Tổ 12, Tt Trại Cau",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Khoa,,977443085,Thái Nguyên,Phú Bình,"Tổ Dân Phố Đông, Tt Hương Sơn",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Toản,,382560501,Thái Nguyên,Phú Bình,"Tổ Dân Phố Đông, Tt Hương Sơn",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Hồi,,329192268,Thái Nguyên,Phú Bình,"Tổ 3, Tt Hương Sơn",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Trịnh Anh Đức,,0982304853/0962397599,Thái Nguyên,Phú Bình,"Xóm Chợ, Xã Tân Đức",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Văn Lâm,,975855054,Thái Nguyên,Phú Bình,"Xóm Trại Vàng, Xã Tân Đức",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Tâm,,967925589,Thái Nguyên,Phú Bình,"Chợ Cầu, Nhã Lộng",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Quảng,,984280678,Thái Nguyên,Phú Bình,Xuân Phương,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Quyến,,369665622,Thái Nguyên,Phú Bình,"Xóm Trung, Điềm Thụy",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Phạm Văn Đạt,,977560007,Thái Nguyên,Phú Lương,Tt Đu,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Hiếu,,986616601,Thái Nguyên,Phú Lương,"Dương Tự Minh, Tt Đu",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Nhật Anh,,964309159,Thái Nguyên,Phú Lương,Bờ Đậu,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Thìn,,987582897,Thái Nguyên,Phú Lương,Trại Giam Phú Sơn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Lê Văn Vũ,,986262898,Thái Nguyên,Phú Lương,Tt Giang Tiên,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Hoàng Đức Hạnh,,986865977,Thái Nguyên,Phú Lương,Xã Cổ Lũng,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Cương,,988970523,Thái Nguyên,Phú Lương,Xã Đồng Đạt,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Hoàng Văn Quân,,974997278,Thái Nguyên,Phú Lương,Xã Đồng Đạt,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Chú Thông,,988167958,Thái Nguyên,Phú Lương,Xã Đồng Đạt,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Tùng Lâm,,988972495,Thái Nguyên,Phú Lương,Xã Đồng Đạt,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Công,,978053222,Thái Nguyên,Phú Lương,Xã Sơn Câm,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Vị,,363880289,Thái Nguyên,Phú Lương,Xã Yên Đổ,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Hải,,976979779,Thái Nguyên,Phú Lương,"Xóm Công Hòa, Động Đạt",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Tuyên,,974944195,Thái Nguyên,Tp Thái Nguyên,542 Đường Dương Tự Minh,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Trần Văn Hải,,989527773,Thái Nguyên,Tp Thái Nguyên,693 Lương Ngọc Quyến,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Khương,,966569300,Thái Nguyên,Tp Thái Nguyên,"Cầu Đán, P. Thịnh Đán",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Luận,,966596566,Thái Nguyên,Tp Thái Nguyên,Cầu Treo Huống,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Dương,,972100540,Thái Nguyên,Tp Thái Nguyên,"Sn200, Tổ 11, P. Tân Long",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Duy,,949854233,Thái Nguyên,Tp Thái Nguyên,Sơn Cẩm,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Đạt,,868075555,Thái Nguyên,Tp Thái Nguyên,Đường Dương Tự Minh,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh,,975300019,Thái Nguyên,Tp Thái Nguyên,3/1 Đường Bắc Kan,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Hoan,,962162282,Thái Nguyên,Tp Thái Nguyên,Phúc Xuân,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Tùng,,985158996,Thái Nguyên,Tp Thái Nguyên,Hoàng Ngân,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Chú Thành,,915100286,Thái Nguyên,Tp Thái Nguyên,Hoàng Ngân,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Chị Thủy,,979080968,Thái Nguyên,Tp Thái Nguyên,Hoàng Ngân,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Truyền,,987636996,Thái Nguyên,Tp Thái Nguyên,"Hông Thái 1, Tân Cương",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Chị Hằng,,977056856,Thái Nguyên,Tp Thái Nguyên,Ngã Tư Gang Thép,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Hiến,,974160307,Thái Nguyên,Tp Thái Nguyên,"Đường Vó Ngựa, Lương Sơn",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Hậu,,983485757,Thái Nguyên,Tp Thái Nguyên,Tích Lương,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Chị Nga,,976176578,Thái Nguyên,Tp Thái Nguyên,Tích Lương,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Thiệp,,915563882,Thái Nguyên,Tp Thái Nguyên,"Đường Cmt8, P. Hương Sơn",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Ngọc Hải,,972157188,Thái Nguyên,Tp Thái Nguyên,"Ngõ 723, Đường Lương Ngọc Quyến",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Nam,,985785446,Thái Nguyên,Tp Thái Nguyên,Phúc Trìu,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Trần Văn Hoan,,976726282,Thái Nguyên,Tp Thái Nguyên,Phúc Trìu,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Lương Ngọc Tuyến,,983066633,Thái Nguyên,Tp Thái Nguyên,"Sn 773, Đường Thống Nhất, P. Tân Lập",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Quốc Huy,,986064992,Thái Nguyên,Tp Thái Nguyên,Tân Cương,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Chiến,,365198262,Thái Nguyên,Tp Thái Nguyên,"Thái Sơn 1 , P. Quyết Thắng",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Minh,,387009358,Thái Nguyên,Tp Thái Nguyên,Thịnh Đán,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Hoàng Văn Hải,,969509379,Thái Nguyên,Tp Thái Nguyên,"Tổ 10 , P. Quyết Thắng",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Phát,,985665277,Thái Nguyên,Tp Thái Nguyên,"Tổ 10, P. Đồng Quang",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Trọng,,942353444,Thái Nguyên,Tp Thái Nguyên,"Tổ 10, P. Túc Duyên",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Ninh,,913589720,Thái Nguyên,Tp Thái Nguyên,"Sn 12, Tổ 17, P. Trưng Vương",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Hà,,988114777,Thái Nguyên,Tp Thái Nguyên,"Tổ 10B, P. Tân Lập",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Lại,,977116897,Thái Nguyên,Tp Thái Nguyên,"Tổ 14, Phường Quang Trung",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Phong,,986178969,Thái Nguyên,Tp Thái Nguyên,"Viện A, P. Thịnh Đán",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Văn Hải,,974156038,Thái Nguyên,Tp Thái Nguyên,"Tổ 16, P. Thịnh Đán",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Anh Thắng,,988117243,Thái Nguyên,Tp Thái Nguyên,"Tổ 17, P. Gia Sàng",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Thành,,978059399,Thái Nguyên,Tp Thái Nguyên,"Đ. Cmt8, Gia Sàng",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Mai Văn Tuyến,,985400222,Thái Nguyên,Tp Thái Nguyên,"Tổ 18, P. Tân Thịnh",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Văn Bình,,967323882,Thái Nguyên,Tp Thái Nguyên,Tổ 2 Tân Thịnh,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Trần Hồng Hiệp,,988366303,Thái Nguyên,Tp Thái Nguyên,"Tổ 2, Xóm Ao Voi, Xã Đồng Bẩm",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Huy Hiển,,982969848,Thái Nguyên,Tp Thái Nguyên,"Tổ 21, P. Hoàng Văn Thụ",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Hợi,,985907404,Thái Nguyên,Tp Thái Nguyên,"Tổ 3 , P. Tân Lập",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Chú Phát,,977007387,Thái Nguyên,Tp Thái Nguyên,"Tổ 3 , P. Tân Lập",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Trần Văn Mạnh,,973681982,Thái Nguyên,Tp Thái Nguyên,"Tổ 9, P. Quang Trung",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Thuận,,971853222,Thái Nguyên,Tp Thái Nguyên,"Tổ 8, Tân Thinh",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Linh,,904065080,Thái Nguyên,Tp Thái Nguyên,…………..,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Thái Minh,,917687010,Thái Nguyên,Tp Thái Nguyên,"Z115, P. Quyết Thắng",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh An,,968902152,Thái Nguyên,Tp Thái Nguyên,"Tổ 8, Phường Chùa Hang",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Đức Thao,,886322555,Thái Nguyên,Tp Thái Nguyên,Phường Chùa Hang,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Vui,,988567023,Thái Nguyên,Tp Thái Nguyên,Phường Chùa Hang,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Chị Hòa,,988149507,Thái Nguyên,Tp Thái Nguyên,Phường Chùa Hang,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Hoàng Văn Quyền,,988508433,Thái Nguyên,Tp Thái Nguyên,Phường Đồng Bẩm,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Huy Kiên,,988546888,Thái Nguyên,Tp Thái Nguyên,Phường Đồng Bẩm,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Văn Trường,,914862977,Thái Nguyên,Tp Thái Nguyên,Phường Đồng Bẩm,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Trịnh Văn Hòa,,915209484,Thái Nguyên,Tp Sông Công,"Tdp Hợp Thành, P Thắng Lợi",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Mùi,,984838117,Thái Nguyên,Tp Sông Công,"Tdp 28, Phố Cò",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Thiện,,946122366,Thái Nguyên,Tp Sông Công,"Trần Hưng Đạo, Phố Cò",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Viên,,978872223,Thái Nguyên,Tp Sông Công,"Tổ 7, P. Châu Sơn",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Anh Quản,,968000687,Bắc Kạn,Tp Bắc Kạn,"Tổ 16, Phường Sông Cầu, Tp Bắc Kạn",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Đỗ  Văn Cường,,815123888,Bắc Kạn,Tp Bắc Kạn,"Tổ 12, Phường Sông Cầu, Tp Bắc Kạn",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Phạm Thế Mạnh,,977503666,Bắc Kạn,Tp Bắc Kạn,"Tổ 4, Phường Đức Xuân, Tp Bắc Kạn",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Công ty TNHH Thái Phong Nhã,,946720444,Quảng Trị,TP Đông Hà,01 Lý Thường Kiệt - TP. Đông Hà,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Công ty TNHH MTV Tiền Phong Quảng Trị,,974661777,Quảng Trị,TP Đông Hà,10 Hàn Mặc tử - KP11 - Phường 5 - TP. Đông Hà,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Công ty TNHH SX-TM-DV Minh Hiếu,,914222587,Quảng Trị,TP Đông Hà,85 Hùng Vương - TP. Đông Hà,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cty TNHH VFG Thái Bình Dương,,987459799,Quảng Trị,TP Đông Hà,82 Lãng Ông,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cty CP SX & TM Tiên Phong,,974064064,Quảng Trị,TP Đông Hà,197 Quốc Lộ 1A,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Tân Tiếnn Windows,,935248488,Quảng Trị,TP Đông Hà,179 Quốc Lộ 1 A,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Công ty TNHH MTV Tâm Tiến Khoa,,914177369,Quảng Trị,H Vĩnh Linh,395 Lê Duẩn - Hồ Xá - Vĩnh Linh,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Tiến Đạt Hùng,,979490479,Quảng Trị,TP Đông Hà,35 Phạm Ngũ Lão,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,An Hưng Windows,,906479779,Quảng Trị,H Gio Linh,"Khu Phố I, Cửa Việt",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cty TNHH MTV Windows Minh Quốc,,916669012,Quảng Trị,H Gio Linh,"Khu Phố II, Cửa Việt",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cơ sở SX Nhôm Anh Dũng,,914301201,Quảng Trị,H Vĩnh Linh,"Quốc Lộ 1A, TT Hồ Xá",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Hùng Diệu Phong,,905922688,Quảng Trị,H Vĩnh Linh,"Quốc Lộ 1A, TT Hồ Xá",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cty Xây Dựng Tuấn Hương Windows,,935137559,Quảng Trị,TP Đông Hà,Cầu Sòng Quốc Lộ 1A,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Giang Lập Phát,,911752678,Quảng Trị,TP Đông Hà,525 Lê Duẩn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cty TNHH MTV Thuật Phát Quảng Trị,,945575444,Quảng Trị,TP Đông Hà,76 Huỳnh Thúc Khánh,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cơ Sở Nhôm Kính Đức Khánh,,945547557,Quảng Trị,TT Ái Tử-Triệu Phong,260 Lê Duẩn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,DNTN Hữu Thủy,,913457932,Quảng Trị,TP Đông Hà,47B Quốc Lộ,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Công ty TNHH XD & TM Văn Minh M.A.C,,935494345,Quảng Trị,TP Đông Hà,86 Hùng Vương,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Hợp Lực Quảng Trị,,945525686,Quảng Trị,TP Đông Hà,250 Lý Thường Kiệt,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cty TNHH Full House Windows,,912740345,Quảng Trị,TP Đông Hà,601 Lê Duẩn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cty TNHH TM & SX Khánh Hoàng,,982119778,Quảng Trị,TP Đông Hà,QL 1A-Đông Thanh,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cty TNHH MTV& SX Tiến Phát Quảng Trị,,905679446,Quảng Trị,TX Quảng Trị,25 Hồ Xuân Hương,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,SX Nhôm Kính Xuân Trường,,905996527,Quảng Trị,H Hướng Hóa,"Quốc lộ 9 - 142 Hoàng Hoa Thám, Tân Kim, TT Lao Bảo",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nhôm Kính Tuyến Lan,,1644206199,Quảng Trị,Lao Bảo,Km 67 Tân Liên - Hướng Hóa Khe Sanh,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cơ sở SX Nhôm Kính Tuyến - Anh,,913485709,Quảng Trị,H Hướng Hóa,"15 Lê Lợi ,Hướng Hóa",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Cơ sở SX Nhôm Hiệp,,905669201,Quảng Trị,H Hướng Hóa,Quốc lộ 9 - Hoàng Hoa Thám - Tân Liên,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Đức Vương Windows,,948636357,Quảng Trị,TP Đông Hà,555 Lê Duẩn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Hoàng Gia Windows & XingFa,,917240111,Quảng Trị,TP Đông Hà,130 Nguyễn Du,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Tâm Phát Windows,,914118592,Quảng Trị,H Triệu Phong,H Triệu Phong,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Công Ty MTF,,918970760,Quảng Trị,TP Đông Hà,30 Tôn Thất Thuyết,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Phúc Nhôm Kính,,1248626678,Quảng Trị,H Gio Linh,Khu phố III. Cửa Việt,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nhôm Kính Anh Nhân,,942317117,Quảng Trị,TP Đông Hà,Khu Công Nghiệp Đông Lễ,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Hiếu Phương Windows,,919413686,Quảng Trị,H Gio Linh,TT Cửa Tùng,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Khánh Windows,,355567383,Quảng Trị,H Hướng Hóa,TT Tân Liên,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Phúc Thịnh Phát,,943500742,Quảng Trị,TP Đông Hà,374 Quốc Lộ 9,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Thiện Phát,,942432445,Quảng Trị,Hướng Hóa,"Hướng Hóa, Quảng Trị",Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Đức Vận,,919488687,Quảng Trị,TP Đông Hà,528 Lê Duẫn( Quốc Lộ 1A),Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Tuấn Huệ Windows,,942854155,Quảng Trị,TP Đông Hà,05 Đoàn Thị Điểm,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Hưng Thịnh Quảng Trị,,984774337,Quảng Trị,TP Đông Hà,485 Lê Duẫn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Văn Chung,,905164999,Quảng Trị,TP Đông Hà,20 Trần Hưng Đạo,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Vũ Thảo,,333766345,Quảng Trị,Huyện Gio Linh,QL1A- Gio Phong,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Trang Khánh,,934747589,Quảng Trị,huyện Vĩnh Linh,Vĩnh Lâm,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Thuyết,,968278678,Quảng Trị,TT Hồ Xá,50 Trần phú,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Ngọc Sơn Window,,944656018,Quảng Trị,Triệu Phong,TT Ái Tử,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Thành Thịnh Phát,,963443627,Quảng Trị,Gio Linh,TT Cửa Việt,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Công Khánh,,916873324,Quảng Trị,Hải Lăng,Hải Phú,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Thành Danh QT,,911236271,Quảng Trị,Gio Linh,Cửa Việt,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Lê Khôi Nhôm Kính,,983603777,Quảng Trị,Gio Linh,Gio Mai,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Thảo Nguyên Window,,911137767,Quảng Trị,Đông Hà,Đường Thanh Niên,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Hoàng Phúc Window,,969731644,Quảng Trị,Đông Hà,Đường Thanh Niên,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Minh Hoàng Window,,918384456,Quảng Trị,Đông Hà,Đường Phạm Hồng Thái,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Quốc Cường Window,,377007345,Quảng Trị,Đông Hà,Đường Phạm Hồng Thái,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Ngọc Ánh Window,,931988777,Quảng Trị,Đông Hà,Đường Thanh Niên,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Văn Đình,,911445123,Quảng Trị,Đông Hà,Đường Hoàng Diệu,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nhôm Kính Cao Cấp Kim Quản,,979268575,Quảng Trị,Đông Hà,Đường Thanh Niên,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nhôm Kính Long Lanh,,853164345,Quảng Trị,Hướng Hóa,Khe Sanh,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nhôm Kính Lộc Phát,,935317259,Quảng Trị,Hướng Hóa,Tân Long,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Nguyễn Hoàng,,941129444,Quảng Trị,TT Gio Linh,73 Lê Duẩn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Khang Nguyên Windows,,342441445,Quảng Trị,Đông Hà,594 Lê Duẩn,Data tổng hợp,,Miền Bắc
ĐLSX Tổng Hợp,Thành An,,905392749,Quảng Trị,Đông Hà,238 Lý Thường Kiệt,Data tổng hợp,,Miền Bắc
